DATE,Remarks,TP
4/8/2004,,0.0178800
4/13/2004,,0.0131500
4/22/2004,,0.0150400
4/26/2004,,0.0153300
5/3/2004,,0.0304100
5/17/2004,,0.0187600
6/2/2004,,0.0190600
6/14/2004,,0.0209600
7/7/2004,,0.0335400
8/3/2004,,0.0489300
9/7/2004,,0.0439200
10/7/2004,,0.0323200
11/1/2004,,0.0359200
12/7/2004,,0.0329800
1/4/2005,,0.0210100
2/1/2005,,0.0177600
3/3/2005,,0.0153200
4/7/2005,,0.0117000
4/19/2005,,0.0157000
4/29/2005,,0.0098200
5/2/2005,,0.0101300
5/4/2005,,0.0125800
5/12/2005,,0.0136900
5/17/2005,,0.0202100
5/19/2005,,0.0255000
5/24/2005,,0.0321000
5/26/2005,,0.0265400
6/2/2005,,0.0287000
6/7/2005,,0.0208300
6/24/2005,,0.0153000
7/7/2005,,0.0202000
8/2/2005,,0.0255100
9/14/2005,,0.0446600
10/7/2005,,0.0315100
11/3/2005,,0.0391500
12/2/2005,,0.0292900
12/6/2005,,0.0268500
1/1/2006,,0.0272300
1/5/2006,,0.0189700
2/7/2006,,0.0176900
3/1/2006,,0.0158700
4/7/2006,,0.0189100
4/25/2006,,0.0186300
5/2/2006,,0.0167600
5/9/2006,,0.0161200
5/12/2006,,0.0277700
5/19/2006,,0.0258600
5/26/2006,,0.0165900
6/7/2006,,0.0216000
6/20/2006,,0.0170500
6/26/2006,,0.0182500
7/6/2006,,0.0201000
8/3/2006,,0.0361100
9/7/2006,,0.0360200
10/2/2006,,0.0294900
11/6/2006,,0.0722200
12/7/2006,,0.0271800
1/9/2007,,0.0223800
2/5/2007,,0.0215000
3/5/2007,,0.0255200
3/19/2007,,0.0150500
4/3/2007,,0.0123000
4/9/2007,,0.0138400
5/2/2007,,0.0123000
5/11/2007,,0.0156800
5/14/2007,,0.0156800
5/24/2007,,0.0172200
6/5/2007,,0.0172000
6/26/2007,,0.0306400
7/3/2007,,0.0376800
7/31/2007,,0.0330700
8/10/2007,,0.0399100
9/7/2007,,0.0354100
10/4/2007,,0.0485100
11/7/2007,,0.0279800
12/4/2007,,0.0292400
1/10/2008,,0.0268500
2/6/2008,,0.0341400
3/5/2008,,0.0225500
4/3/2008,,0.0186400
4/15/2008,,0.0162000
4/29/2008,,0.0193500
5/6/2008,,0.0169000
5/7/2008,,0.0185400
5/12/2008,,0.0170200
5/15/2008,,0.0550300
5/15/2008,,0.0278200
5/16/2008,,0.0553300
5/19/2008,,0.0431100
5/21/2008,,0.0531800
5/27/2008,,0.0441400
6/4/2008,,0.0450800
7/8/2008,,0.0291600
8/6/2008,,0.0390800
9/2/2008,,0.0427000
10/7/2008,,0.0330800
11/2/2008,,0.0333100
11/5/2008,,0.0250600
12/3/2008,,0.0262300
1/7/2009,,0.0188800
2/2/2009,,0.0107800
3/2/2009,,0.0177400
3/20/2009,,0.0112200
4/7/2009,,0.0163400
4/21/2009,,0.0176100
4/23/2009,,0.0166700
5/5/2009,,0.0168200
5/8/2009,,0.0186600
5/15/2009,,0.0212600
5/17/2009,,0.0304300
5/19/2009,,0.0297900
5/22/2009,,0.0414600
5/27/2009,,0.0216200
6/3/2009,,0.0124700
7/8/2009,,0.0311300
8/5/2009,,0.0306900
9/8/2009,,0.0390400
10/6/2009,,0.0396700
10/13/2009,,0.0769800
10/14/2009,,0.0552000
11/4/2009,,0.0209000
12/2/2009,,0.0262900
1/20/2010,,0.0192300
2/1/2010,,0.0199700
3/1/2010,,0.0199200
3/19/2010,,0.0165100
4/6/2010,,0.0207300
4/28/2010,,0.0166700
5/5/2010,,0.0188600
5/17/2010,,0.0267800
5/20/2010,,0.0229800
6/1/2010,,0.0403000
6/3/2010,,0.0756100
6/4/2010,,0.1365600
6/7/2010,,0.0592600
6/9/2010,,0.0504900
6/16/2010,,0.0318600
6/22/2010,,0.0155000
7/6/2010,,0.0216300
8/2/2010,,0.0303900
9/9/2010,,0.0356100
10/6/2010,,0.0324300
10/8/2010,,0.0259500
10/24/2010,,0.0687200
11/3/2010,,0.0192300
11/8/2010,,0.0207700
12/6/2010,,0.0070900
12/9/2010,,0.0162900
1/5/2011,,0.0351800
2/15/2011,,0.0212400
3/7/2011,,0.0166900
3/16/2011,,0.0170300
4/5/2011,,0.0119200
4/18/2011,,0.0163900
5/5/2011,,0.0172700
5/26/2011,,0.0199700
6/1/2011,,0.0165300
6/5/2011,,0.0259600
6/6/2011,,0.0250300
6/13/2011,,0.0254300
6/15/2011,,0.0441900
6/17/2011,,0.0362800
6/21/2011,,0.0299300
6/23/2011,,0.0323900
6/27/2011,,0.0212900
6/29/2011,,0.0481300
7/8/2011,,0.0218100
7/19/2011,,0.0233500
8/10/2011,,0.0224000
9/6/2011,,0.0319000
