DATE,Remarks,OP
4/9/2007,,0.00272000
5/2/2007,,0.00521000
5/11/2007,,0.00569000
5/14/2007,,0.00522000
5/24/2007,,0.00681000
6/5/2007,,0.00681000
6/26/2007,,0.01500000
7/3/2007,,0.01614000
7/31/2007,,0.02403000
8/10/2007,,0.02629000
9/7/2007,,0.02290000
10/4/2007,,0.01701000
11/7/2007,,0.01431000
12/4/2007,,0.01458000
1/10/2008,,0.01321000
2/6/2008,,0.01334000
3/5/2008,,0.00949000
4/3/2008,,0.00737000
4/15/2008,,0.00431000
4/29/2008,,0.00642000
5/6/2008,,0.00429000
5/7/2008,,0.00362000
5/12/2008,,0.00653000
5/15/2008,,0.00699000
5/15/2008,,0.00744000
5/16/2008,,0.00608000
5/19/2008,,0.00634000
5/21/2008,,0.00724000
5/27/2008,,0.00702000
6/4/2008,,0.00811000
7/8/2008,,0.01332000
8/6/2008,,0.02880000
9/2/2008,,0.02547000
10/7/2008,,0.01797000
11/2/2008,,0.01085000
11/5/2008,,0.00861000
12/3/2008,,0.01215000
1/7/2009,,0.00314000
2/2/2009,,0.00710000
3/2/2009,,0.00699000
3/20/2009,,0.00448000
4/7/2009,,0.00304000
4/21/2009,,0.00053322
4/23/2009,,0.00082271
5/5/2009,,0.00424000
5/8/2009,,0.00581000
5/15/2009,,0.00580000
5/17/2009,,0.00625000
5/19/2009,,0.00580000
5/22/2009,,0.00650000
5/27/2009,,0.00585000
6/3/2009,,0.00629000
7/8/2009,,0.01340000
8/5/2009,,0.02174000
9/8/2009,,0.00587000
10/6/2009,,0.02896000
10/13/2009,,0.04139000
10/14/2009,,0.01095000
11/4/2009,,0.01278000
12/2/2009,,0.01369000
1/20/2010,,0.00800000
2/1/2010,,0.00920000
3/1/2010,,0.00815000
3/19/2010,,0.00498000
4/6/2010,,0.00610000
4/28/2010,,0.00396000
5/5/2010,,0.00354000
5/17/2010,,0.00400000
5/20/2010,,0.00601000
6/1/2010,,0.00438000
6/3/2010,,0.00438000
6/4/2010,,0.00735000
6/7/2010,,0.00633000
6/9/2010,,0.00770000
6/16/2010,,0.00577000
6/22/2010,,0.00691000
7/6/2010,,0.00650000
8/2/2010,,0.01765000
9/9/2010,,0.02311000
10/6/2010,,0.01587000
10/8/2010,,0.01564000
10/24/2010,,0.01234000
11/3/2010,,0.00788000
11/8/2010,,0.00743000
12/6/2010,,0.00670000
12/9/2010,,0.00457000
1/5/2011,,0.01084000
2/15/2011,,0.00907000
3/7/2011,,0.00938000
3/16/2011,,0.00615000
4/5/2011,,0.00454000
4/18/2011,,0.00408000
5/5/2011,,0.00244000
5/26/2011,,0.00814000
6/1/2011,,0.00704000
6/5/2011,,0.00635000
6/6/2011,,0.00590000
6/13/2011,,0.00596000
6/15/2011,,0.00686000
6/17/2011,,0.00777000
6/21/2011,,0.00768000
6/23/2011,,0.00904000
6/27/2011,,0.01063000
6/29/2011,,0.00555000
7/8/2011,,0.00718000
7/19/2011,,0.00774000
8/10/2011,,0.01352000
9/6/2011,,0.01893000
